episode: 0/1000, score: 10, epsilon: 1.0
episode: 1/1000, score: 12, epsilon: 0.99
episode: 2/1000, score: 8, epsilon: 0.99
episode: 3/1000, score: 9, epsilon: 0.99
episode: 4/1000, score: 7, epsilon: 0.98
episode: 5/1000, score: 9, epsilon: 0.98
episode: 6/1000, score: 7, epsilon: 0.97
episode: 7/1000, score: 8, epsilon: 0.97
episode: 8/1000, score: 8, epsilon: 0.96
episode: 9/1000, score: 8, epsilon: 0.96
episode: 0/1000, score: 9, epsilon: 1.0
episode: 1/1000, score: 9, epsilon: 0.99
episode: 2/1000, score: 9, epsilon: 0.99
episode: 3/1000, score: 7, epsilon: 0.99
episode: 4/1000, score: 9, epsilon: 0.98
episode: 5/1000, score: 9, epsilon: 0.98
episode: 6/1000, score: 9, epsilon: 0.97
episode: 7/1000, score: 9, epsilon: 0.97
episode: 8/1000, score: 9, epsilon: 0.96
episode: 9/1000, score: 9, epsilon: 0.96
episode: 0/1000, score: 35, epsilon: 1.0
episode: 1/1000, score: 50, epsilon: 0.99
episode: 0/1000, score: 10, epsilon: 1.0
episode: 1/1000, score: 9, epsilon: 0.99
episode: 2/1000, score: 10, epsilon: 0.99
episode: 3/1000, score: 10, epsilon: 0.99
episode: 4/1000, score: 8, epsilon: 0.98
episode: 5/1000, score: 8, epsilon: 0.98
episode: 6/1000, score: 9, epsilon: 0.97
episode: 7/1000, score: 8, epsilon: 0.97
episode: 8/1000, score: 9, epsilon: 0.96
episode: 9/1000, score: 7, epsilon: 0.96
episode: 0/1000, score: 8, epsilon: 0.95
episode: 1/1000, score: 8, epsilon: 0.95
episode: 2/1000, score: 8, epsilon: 0.94
episode: 3/1000, score: 9, epsilon: 0.94
episode: 4/1000, score: 8, epsilon: 0.93
episode: 5/1000, score: 8, epsilon: 0.93
episode: 6/1000, score: 9, epsilon: 0.92
episode: 7/1000, score: 8, epsilon: 0.92
episode: 8/1000, score: 7, epsilon: 0.91
episode: 9/1000, score: 7, epsilon: 0.91
episode: 10/1000, score: 7, epsilon: 0.9
episode: 11/1000, score: 8, epsilon: 0.9
episode: 12/1000, score: 9, epsilon: 0.9
episode: 13/1000, score: 9, epsilon: 0.89
episode: 14/1000, score: 8, epsilon: 0.89
episode: 15/1000, score: 8, epsilon: 0.88
episode: 16/1000, score: 9, epsilon: 0.88
episode: 17/1000, score: 9, epsilon: 0.87
episode: 18/1000, score: 9, epsilon: 0.87
episode: 19/1000, score: 8, epsilon: 0.86
episode: 20/1000, score: 8, epsilon: 0.86
episode: 21/1000, score: 8, epsilon: 0.86
episode: 22/1000, score: 10, epsilon: 0.85
episode: 23/1000, score: 8, epsilon: 0.85
episode: 24/1000, score: 9, epsilon: 0.84
episode: 25/1000, score: 8, epsilon: 0.84
episode: 26/1000, score: 8, epsilon: 0.83
episode: 27/1000, score: 8, epsilon: 0.83
episode: 28/1000, score: 8, epsilon: 0.83
episode: 29/1000, score: 9, epsilon: 0.82
episode: 30/1000, score: 8, epsilon: 0.82
episode: 31/1000, score: 7, epsilon: 0.81
episode: 32/1000, score: 9, epsilon: 0.81
episode: 33/1000, score: 9, epsilon: 0.81
episode: 34/1000, score: 9, epsilon: 0.8
episode: 35/1000, score: 9, epsilon: 0.8
episode: 36/1000, score: 10, epsilon: 0.79
episode: 37/1000, score: 8, epsilon: 0.79
episode: 38/1000, score: 8, epsilon: 0.79
episode: 39/1000, score: 9, epsilon: 0.78
episode: 40/1000, score: 8, epsilon: 0.78
episode: 41/1000, score: 7, epsilon: 0.77
episode: 42/1000, score: 7, epsilon: 0.77
episode: 43/1000, score: 8, epsilon: 0.77
episode: 44/1000, score: 8, epsilon: 0.76
episode: 45/1000, score: 9, epsilon: 0.76
episode: 46/1000, score: 8, epsilon: 0.76
episode: 47/1000, score: 9, epsilon: 0.75
episode: 48/1000, score: 7, epsilon: 0.75
episode: 49/1000, score: 9, epsilon: 0.74
episode: 50/1000, score: 8, epsilon: 0.74
episode: 51/1000, score: 8, epsilon: 0.74
episode: 52/1000, score: 8, epsilon: 0.73
episode: 53/1000, score: 7, epsilon: 0.73
episode: 54/1000, score: 8, epsilon: 0.73
episode: 55/1000, score: 8, epsilon: 0.72
episode: 56/1000, score: 8, epsilon: 0.72
episode: 57/1000, score: 8, epsilon: 0.71
episode: 58/1000, score: 8, epsilon: 0.71
episode: 59/1000, score: 8, epsilon: 0.71
episode: 60/1000, score: 9, epsilon: 0.7
episode: 61/1000, score: 9, epsilon: 0.7
episode: 62/1000, score: 8, epsilon: 0.7
episode: 63/1000, score: 9, epsilon: 0.69
episode: 64/1000, score: 8, epsilon: 0.69
episode: 65/1000, score: 8, epsilon: 0.69
episode: 66/1000, score: 9, epsilon: 0.68
episode: 67/1000, score: 8, epsilon: 0.68
episode: 68/1000, score: 9, epsilon: 0.68
episode: 69/1000, score: 9, epsilon: 0.67
episode: 70/1000, score: 10, epsilon: 0.67
episode: 71/1000, score: 9, epsilon: 0.67
episode: 72/1000, score: 8, epsilon: 0.66
episode: 73/1000, score: 8, epsilon: 0.66
episode: 74/1000, score: 9, epsilon: 0.66
episode: 75/1000, score: 8, epsilon: 0.65
episode: 76/1000, score: 10, epsilon: 0.65
episode: 77/1000, score: 7, epsilon: 0.65
episode: 78/1000, score: 7, epsilon: 0.64
episode: 79/1000, score: 9, epsilon: 0.64
episode: 80/1000, score: 8, epsilon: 0.64
episode: 81/1000, score: 7, epsilon: 0.63
episode: 82/1000, score: 9, epsilon: 0.63
episode: 83/1000, score: 9, epsilon: 0.63
episode: 84/1000, score: 7, epsilon: 0.62
episode: 85/1000, score: 8, epsilon: 0.62
episode: 86/1000, score: 8, epsilon: 0.62
episode: 87/1000, score: 9, epsilon: 0.61
episode: 88/1000, score: 8, epsilon: 0.61
episode: 89/1000, score: 7, epsilon: 0.61
episode: 90/1000, score: 8, epsilon: 0.61
episode: 91/1000, score: 9, epsilon: 0.6
episode: 92/1000, score: 9, epsilon: 0.6
episode: 93/1000, score: 9, epsilon: 0.6
episode: 94/1000, score: 7, epsilon: 0.59
episode: 95/1000, score: 9, epsilon: 0.59
episode: 96/1000, score: 9, epsilon: 0.59
episode: 97/1000, score: 9, epsilon: 0.58
episode: 98/1000, score: 8, epsilon: 0.58
episode: 99/1000, score: 8, epsilon: 0.58
episode: 100/1000, score: 9, epsilon: 0.58
episode: 101/1000, score: 8, epsilon: 0.57
episode: 102/1000, score: 8, epsilon: 0.57
episode: 103/1000, score: 8, epsilon: 0.57
episode: 104/1000, score: 8, epsilon: 0.56
episode: 105/1000, score: 8, epsilon: 0.56
episode: 106/1000, score: 9, epsilon: 0.56
episode: 107/1000, score: 9, epsilon: 0.56
episode: 108/1000, score: 8, epsilon: 0.55
episode: 109/1000, score: 8, epsilon: 0.55
episode: 110/1000, score: 9, epsilon: 0.55
episode: 111/1000, score: 9, epsilon: 0.55
episode: 112/1000, score: 9, epsilon: 0.54
episode: 113/1000, score: 9, epsilon: 0.54
episode: 114/1000, score: 9, epsilon: 0.54
episode: 115/1000, score: 9, epsilon: 0.53
episode: 116/1000, score: 9, epsilon: 0.53
episode: 117/1000, score: 7, epsilon: 0.53
episode: 118/1000, score: 9, epsilon: 0.53
episode: 119/1000, score: 8, epsilon: 0.52
episode: 120/1000, score: 9, epsilon: 0.52
episode: 121/1000, score: 9, epsilon: 0.52
episode: 122/1000, score: 9, epsilon: 0.52
episode: 123/1000, score: 7, epsilon: 0.51
episode: 124/1000, score: 8, epsilon: 0.51
episode: 125/1000, score: 8, epsilon: 0.51
episode: 126/1000, score: 7, epsilon: 0.51
episode: 127/1000, score: 9, epsilon: 0.5
episode: 128/1000, score: 8, epsilon: 0.5
episode: 129/1000, score: 8, epsilon: 0.5
episode: 130/1000, score: 8, epsilon: 0.5
episode: 131/1000, score: 9, epsilon: 0.49
episode: 132/1000, score: 7, epsilon: 0.49
episode: 133/1000, score: 8, epsilon: 0.49
episode: 134/1000, score: 9, epsilon: 0.49
episode: 135/1000, score: 9, epsilon: 0.48
episode: 136/1000, score: 8, epsilon: 0.48
episode: 137/1000, score: 9, epsilon: 0.48
episode: 138/1000, score: 9, epsilon: 0.48
episode: 139/1000, score: 9, epsilon: 0.47
episode: 140/1000, score: 8, epsilon: 0.47
episode: 141/1000, score: 8, epsilon: 0.47
episode: 142/1000, score: 9, epsilon: 0.47
episode: 143/1000, score: 9, epsilon: 0.46
episode: 144/1000, score: 9, epsilon: 0.46
episode: 145/1000, score: 9, epsilon: 0.46
episode: 146/1000, score: 9, epsilon: 0.46
episode: 147/1000, score: 8, epsilon: 0.46
episode: 148/1000, score: 8, epsilon: 0.45
episode: 149/1000, score: 9, epsilon: 0.45
episode: 150/1000, score: 9, epsilon: 0.45
episode: 151/1000, score: 9, epsilon: 0.45
episode: 152/1000, score: 8, epsilon: 0.44
episode: 153/1000, score: 9, epsilon: 0.44
episode: 154/1000, score: 9, epsilon: 0.44
episode: 155/1000, score: 9, epsilon: 0.44
episode: 156/1000, score: 7, epsilon: 0.44
episode: 157/1000, score: 8, epsilon: 0.43
episode: 158/1000, score: 8, epsilon: 0.43
episode: 159/1000, score: 7, epsilon: 0.43
episode: 160/1000, score: 8, epsilon: 0.43
episode: 161/1000, score: 8, epsilon: 0.42
episode: 162/1000, score: 8, epsilon: 0.42
episode: 163/1000, score: 8, epsilon: 0.42
episode: 164/1000, score: 9, epsilon: 0.42
episode: 165/1000, score: 8, epsilon: 0.42
episode: 166/1000, score: 9, epsilon: 0.41
episode: 167/1000, score: 9, epsilon: 0.41
episode: 168/1000, score: 9, epsilon: 0.41
episode: 169/1000, score: 9, epsilon: 0.41
episode: 170/1000, score: 8, epsilon: 0.41
episode: 171/1000, score: 8, epsilon: 0.4
episode: 172/1000, score: 7, epsilon: 0.4
episode: 173/1000, score: 8, epsilon: 0.4
episode: 174/1000, score: 9, epsilon: 0.4
episode: 175/1000, score: 9, epsilon: 0.4
episode: 176/1000, score: 9, epsilon: 0.39
episode: 177/1000, score: 8, epsilon: 0.39
episode: 178/1000, score: 8, epsilon: 0.39
episode: 179/1000, score: 9, epsilon: 0.39
episode: 180/1000, score: 8, epsilon: 0.39
episode: 181/1000, score: 8, epsilon: 0.38
episode: 182/1000, score: 9, epsilon: 0.38
episode: 183/1000, score: 7, epsilon: 0.38
episode: 184/1000, score: 9, epsilon: 0.38
episode: 185/1000, score: 7, epsilon: 0.38
episode: 186/1000, score: 8, epsilon: 0.37
episode: 187/1000, score: 9, epsilon: 0.37
episode: 188/1000, score: 8, epsilon: 0.37
episode: 189/1000, score: 9, epsilon: 0.37
episode: 190/1000, score: 9, epsilon: 0.37
episode: 191/1000, score: 7, epsilon: 0.37
episode: 192/1000, score: 9, epsilon: 0.36
episode: 193/1000, score: 9, epsilon: 0.36
episode: 194/1000, score: 8, epsilon: 0.36
episode: 195/1000, score: 9, epsilon: 0.36
episode: 196/1000, score: 8, epsilon: 0.36
episode: 197/1000, score: 9, epsilon: 0.35
episode: 198/1000, score: 9, epsilon: 0.35
episode: 199/1000, score: 8, epsilon: 0.35
episode: 200/1000, score: 9, epsilon: 0.35
episode: 201/1000, score: 8, epsilon: 0.35
episode: 202/1000, score: 9, epsilon: 0.35
episode: 203/1000, score: 9, epsilon: 0.34
episode: 204/1000, score: 8, epsilon: 0.34
episode: 205/1000, score: 8, epsilon: 0.34
episode: 206/1000, score: 8, epsilon: 0.34
episode: 207/1000, score: 9, epsilon: 0.34
episode: 208/1000, score: 8, epsilon: 0.34
episode: 209/1000, score: 9, epsilon: 0.33
episode: 210/1000, score: 9, epsilon: 0.33
episode: 211/1000, score: 9, epsilon: 0.33
episode: 212/1000, score: 9, epsilon: 0.33
episode: 213/1000, score: 10, epsilon: 0.33
episode: 214/1000, score: 9, epsilon: 0.33
episode: 215/1000, score: 8, epsilon: 0.32
episode: 216/1000, score: 9, epsilon: 0.32
episode: 217/1000, score: 9, epsilon: 0.32
episode: 218/1000, score: 8, epsilon: 0.32
episode: 219/1000, score: 10, epsilon: 0.32
episode: 220/1000, score: 9, epsilon: 0.32
episode: 221/1000, score: 7, epsilon: 0.31
episode: 222/1000, score: 8, epsilon: 0.31
episode: 223/1000, score: 9, epsilon: 0.31
episode: 224/1000, score: 8, epsilon: 0.31
episode: 225/1000, score: 9, epsilon: 0.31
episode: 226/1000, score: 9, epsilon: 0.31
episode: 227/1000, score: 7, epsilon: 0.3
episode: 228/1000, score: 7, epsilon: 0.3
episode: 229/1000, score: 7, epsilon: 0.3
episode: 230/1000, score: 8, epsilon: 0.3
episode: 231/1000, score: 8, epsilon: 0.3
episode: 232/1000, score: 7, epsilon: 0.3
episode: 233/1000, score: 8, epsilon: 0.3
episode: 234/1000, score: 9, epsilon: 0.29
episode: 235/1000, score: 8, epsilon: 0.29
episode: 236/1000, score: 8, epsilon: 0.29
episode: 237/1000, score: 8, epsilon: 0.29
episode: 238/1000, score: 9, epsilon: 0.29
episode: 239/1000, score: 9, epsilon: 0.29
episode: 240/1000, score: 8, epsilon: 0.29
episode: 241/1000, score: 7, epsilon: 0.28
episode: 242/1000, score: 8, epsilon: 0.28
episode: 243/1000, score: 8, epsilon: 0.28
episode: 244/1000, score: 7, epsilon: 0.28
episode: 245/1000, score: 7, epsilon: 0.28
episode: 246/1000, score: 9, epsilon: 0.28
episode: 247/1000, score: 9, epsilon: 0.28
episode: 248/1000, score: 9, epsilon: 0.27
episode: 249/1000, score: 9, epsilon: 0.27
episode: 250/1000, score: 9, epsilon: 0.27
episode: 251/1000, score: 9, epsilon: 0.27
episode: 252/1000, score: 8, epsilon: 0.27
episode: 253/1000, score: 9, epsilon: 0.27
episode: 254/1000, score: 9, epsilon: 0.27
episode: 255/1000, score: 7, epsilon: 0.26
episode: 256/1000, score: 9, epsilon: 0.26
episode: 257/1000, score: 9, epsilon: 0.26
episode: 258/1000, score: 9, epsilon: 0.26
episode: 259/1000, score: 9, epsilon: 0.26
episode: 260/1000, score: 8, epsilon: 0.26
episode: 261/1000, score: 9, epsilon: 0.26
episode: 262/1000, score: 8, epsilon: 0.26
episode: 263/1000, score: 8, epsilon: 0.25
episode: 264/1000, score: 8, epsilon: 0.25
episode: 265/1000, score: 8, epsilon: 0.25
episode: 266/1000, score: 9, epsilon: 0.25
episode: 267/1000, score: 7, epsilon: 0.25
episode: 268/1000, score: 7, epsilon: 0.25
episode: 269/1000, score: 8, epsilon: 0.25
episode: 270/1000, score: 8, epsilon: 0.25
episode: 271/1000, score: 8, epsilon: 0.24
episode: 272/1000, score: 9, epsilon: 0.24
episode: 273/1000, score: 8, epsilon: 0.24
episode: 274/1000, score: 9, epsilon: 0.24
episode: 275/1000, score: 8, epsilon: 0.24
